name,height,weight,reach,stance
Trevor Peek,175.26,70.31,177.8,4
Abu Azaitar,175.26,83.91,193.04,1
Sedriques Dumas,187.96,83.91,200.66,1
Mike Breeden,177.8,70.31,177.8,1
Anshul Jubli,182.88,70.31,175.26,4
Nathaniel Wood,167.64,65.77,175.26,1
Viktoriia Dudakova,165.1,56.7,170.18,1
Jinh Yu Frey,160.02,52.16,165.1,3
Shara Magomedov,187.96,83.91,185.42,1
Bruno Silva,182.88,83.91,187.96,1
Sodiq Yusuff,175.26,65.77,180.34,1
Edson Barboza,180.34,65.77,190.5,1
Jennifer Maia,162.56,56.7,162.56,1
Jonathan Martinez,172.72,61.23,177.8,3
Adrian Yanez,170.18,61.23,177.8,1
Andre Petroski,182.88,83.91,185.42,4
Darren Elkins,177.8,65.77,180.34,1
TJ Brown,175.26,65.77,182.88,4
Tainara Lisboa,170.18,61.23,170.18,1
Ravena Oliveira,165.1,61.23,165.1,1
Terrance McKinney,177.8,70.31,185.42,4
Brendon Marotte,175.26,65.77,177.8,1
Irina Alekseeva,172.72,61.23,170.18,1
Melissa Dixon,170.18,61.23,172.72,1
Alatengheili,165.1,61.23,167.64,1
Ashley Yoder,170.18,52.16,175.26,3
Emily Ducote,157.48,52.16,160.02,1
Grant Dawson,177.8,70.31,182.88,4
Abdul Razak Alhassan,177.8,83.91,185.42,1
Alex Morono,180.34,77.11,182.88,1
Joaquin Buckley,177.8,77.11,193.04,3
Ricky Glenn,182.88,70.31,177.8,3
Alexander Hernandez,175.26,65.77,182.88,1
Bill Algeo,182.88,65.77,185.42,4
Karolina Kowalkiewicz,160.02,52.16,162.56,1
Nate Maness,177.8,56.7,182.88,1
Vanessa Demopoulos,157.48,52.16,149.86,1
Kanako Murata,154.94,52.16,157.48,1
Aoriqileng,170.18,61.23,175.26,1
Johnny Munoz,175.26,61.23,180.34,1
Montana De La Rosa,170.18,56.7,172.72,1
JJ Aldrich,165.1,56.7,170.18,3
Rafael Fiziev,172.72,70.31,180.34,4
Marina Rodriguez,167.64,52.16,165.1,1
Michelle Waterson-Gomez,160.02,52.16,157.48,1
Bryan Battle,185.42,77.11,195.58,1
AJ Fletcher,177.8,77.11,170.18,4
Tim Means,187.96,77.11,190.5,1
Andre Fialho,182.88,77.11,187.96,1
Jacob Malkoun,175.26,83.91,185.42,1
Jake Collier,190.5,104.33,198.12,1
Mizuki,160.02,52.16,165.1,1
Hannah Goldy,162.56,52.16,154.94,1
Tamires Vidal,167.64,61.23,172.72,1
Raul Rosas Jr.,175.26,61.23,170.18,4
Terrence Mitchell,177.8,61.23,187.96,1
Christos Giagos,177.8,70.31,180.34,1
Kyle Nelson,180.34,65.77,180.34,4
Elise Reed,160.02,52.16,160.02,1
Josh Fremd,193.04,83.91,193.04,1
Tracy Cortez,165.1,56.7,165.1,1
Alex Reyes,180.34,70.31,185.42,1
Charlie Campbell,182.88,70.31,182.88,1
Josefine Knutsson,160.02,52.16,152.4,1
Marnic Mann,152.4,52.16,162.56,3
Israel Adesanya,193.04,83.91,203.2,4
Alexander Volkov,200.66,113.4,203.2,1
Manel Kape,165.1,56.7,172.72,3
Austen Lane,198.12,111.13,203.2,1
Anton Turkalj,193.04,92.99,198.12,1
Carlos Ulberg,193.04,92.99,195.58,1
Da Woon Jung,193.04,92.99,198.12,1
Jack Jenkins,170.18,65.77,172.72,4
Chepe Mariscal,170.18,65.77,175.26,1
John Makdessi,172.72,70.31,172.72,1
Blood Diamond,180.34,77.11,193.04,4
Shane Young,172.72,65.77,182.88,1
Gabriel Miranda,180.34,65.77,180.34,1
Kiefer Crosbie,180.34,77.11,177.8,4
Ciryl Gane,193.04,111.13,205.74,1
Serghei Spivac,190.5,117.93,198.12,1
Manon Fiorot,170.18,56.7,165.1,1
Volkan Oezdemir,187.96,92.99,190.5,1
William Gomis,182.88,65.77,185.42,3
Yanis Ghemmouri,175.26,61.23,175.26,1
Morgan Charriere,172.72,65.77,175.26,1
Manolo Zecchini,172.72,65.77,172.72,1
Caolan Loughran,167.64,61.23,172.72,1
Ange Loosa,177.8,77.11,187.96,1
Rhys McKee,187.96,77.11,198.12,1
Nora Cornolle,170.18,61.23,170.18,1
Joselyne Edwards,172.72,61.23,177.8,1
Kleydson Rodrigues,165.1,61.23,170.18,1
Zarah Fairn,172.72,61.23,182.88,1
Jacqueline Cavalcanti,172.72,61.23,177.8,1
Max Holloway,180.34,65.77,175.26,1
Chan Sung Jung,170.18,65.77,182.88,1
Ryan Spann,195.58,92.99,200.66,1
Giga Chikadze,182.88,65.77,187.96,1
Alex Caceres,177.8,65.77,185.42,3
Erin Blanchfield,162.56,56.7,167.64,1
Taila Santos,167.64,56.7,172.72,1
Parker Porter,182.88,120.2,190.5,1
Lukasz Brzeski,193.04,107.05,198.12,1
Toshiomi Kazama,170.18,61.23,175.26,1
Chidi Njokuani,190.5,77.11,203.2,1
Rolando Bedoya,180.34,77.11,187.96,1
Billy Goff,177.8,77.11,182.88,4
Yusaku Kinoshita,182.88,77.11,180.34,3
Liang Na,165.1,56.7,170.18,1
SeungWoo Choi,182.88,65.77,187.96,1
Aljamain Sterling,170.18,65.77,180.34,1
Zhang Weili,162.56,52.16,160.02,4
Da'Mon Blackshear,177.8,61.23,182.88,4
Chris Weidman,187.96,83.91,198.12,1
Austin Hubbard,177.8,70.31,180.34,1
Karine Silva,165.1,56.7,170.18,1
Vicente Luque,180.34,77.11,190.5,1
Cub Swanson,172.72,65.77,177.8,1
Hakeem Dawodu,172.72,65.77,185.42,1
Chris Daukaus,190.5,92.99,193.04,1
Iasmin Lucindo,160.02,52.16,167.64,1
Tafon Nchukwi,182.88,83.91,195.58,1
JP Buys,165.1,61.23,170.18,1
Francis Marshall,175.26,65.77,182.88,1
Juliana Miller,170.18,56.7,167.64,1
Cory Sandhagen,180.34,61.23,177.8,4
Tatiana Suarez,165.1,52.16,167.64,3
Gavin Tucker,167.64,65.77,167.64,3
Tanner Boser,187.96,92.99,190.5,1
Aleksa Camur,185.42,92.99,187.96,1
Ignacio Bahamondes,190.5,70.31,190.5,1
Carlston Harris,182.88,77.11,193.04,1
Damon Jackson,180.34,65.77,180.34,4
Jake Hadley,170.18,56.7,177.8,3
Justin Gaethje,180.34,70.31,177.8,1
Jan Blachowicz,187.96,92.99,198.12,1
Michael Chiesa,185.42,77.11,190.5,3
Vinicius Salvador,170.18,56.7,177.8,3
Jai Herbert,185.42,70.31,195.58,1
Lerone Murphy,175.26,65.77,185.42,1
Davey Grant,172.72,61.23,175.26,1
Daniel Marcos,170.18,61.23,175.26,1
Danny Roberts,185.42,77.11,187.96,3
Jonny Parsons,175.26,77.11,175.26,1
Joel Alvarez,190.5,70.31,195.58,1
Makhmud Muradov,187.96,83.91,190.5,1
Ketlen Vieira,172.72,61.23,172.72,1
Yanal Ashmouz,175.26,70.31,172.72,1
Shauna Bannon,165.1,52.16,165.1,4
Daniel Barez,167.64,56.7,167.64,1
Bassil Hafez,180.34,77.11,182.88,1
Ottman Azaitar,172.72,70.31,180.34,4
Albert Duraev,180.34,83.91,190.5,1
Norma Dumont,170.18,61.23,170.18,1
Nazim Sadykhov,177.8,70.31,175.26,3
Tucker Lutz,172.72,65.77,182.88,1
Melsik Baghdasaryan,175.26,65.77,177.8,3
Istela Nunes,162.56,52.16,167.64,1
Austin Lingo,177.8,65.77,177.8,1
Evan Elder,177.8,70.31,182.88,4
Genaro Valdez,175.26,70.31,182.88,1
Tyson Nam,170.18,56.7,172.72,1
Alexander Munoz,175.26,70.31,182.88,4
Carl Deaton,170.18,70.31,175.26,1
Ashlee Evans-Smith,172.72,61.23,170.18,1
Dan Hooker,182.88,70.31,190.5,4
Bo Nickal,185.42,83.91,193.04,3
Robbie Lawler,180.34,77.11,187.96,3
Niko Price,182.88,77.11,193.04,1
Jimmy Crute,187.96,92.99,187.96,1
Kamuela Kirk,177.8,70.31,190.5,4
Esteban Ribovics,177.8,70.31,175.26,1
Damir Ismagulov,177.8,70.31,187.96,1
Melissa Gatto,165.1,56.7,175.26,1
Ismael Bonfim,172.72,70.31,180.34,1
Nursulton Ruziboev,195.58,83.91,193.04,1
Kevin Lee,175.26,77.11,195.58,1
Rinat Fakhretdinov,182.88,77.11,187.96,1
Yana Santos,167.64,61.23,172.72,1
Guram Kutateladze,180.34,70.31,182.88,1
Ivana Petrovic,172.72,56.7,177.8,3
Alexandr Romanov,187.96,118.84,190.5,3
Blagoy Ivanov,180.34,113.4,185.42,3
David Onama,180.34,65.77,187.96,1
Gabriel Santos,175.26,65.77,177.8,1
Phil Rowe,190.5,77.11,203.2,1
Zhalgas Zhumagulov,162.56,56.7,167.64,4
Marvin Vettori,182.88,83.91,187.96,3
Jared Cannonier,180.34,83.91,195.58,4
Tereza Bleda,175.26,56.7,180.34,1
Gabriella Fernandes,167.64,56.7,167.64,3
Amanda Nunes,172.72,61.23,175.26,1
Charles Oliveira,177.8,70.31,187.96,1
Adam Fugitt,185.42,77.11,195.58,3
Nate Landwehr,175.26,65.77,182.88,1
David Dvorak,165.1,56.7,172.72,1
Maria Oliveira,167.64,52.16,175.26,1
Kai Kara-France,162.56,56.7,175.26,1
Amir Albazi,165.1,56.7,172.72,1
Daniel Pineda,170.18,65.77,175.26,1
Jesse Butler,177.8,65.77,185.42,1
Ketlen Souza,160.02,52.16,160.02,1
Abubakar Nurmagomedov,180.34,77.11,182.88,1
Elizeu Zaleski dos Santos,180.34,77.11,185.42,1
Daniel Santos,170.18,61.23,170.18,1
Luan Lacerda,170.18,61.23,180.34,1
Maxim Grishin,190.5,92.99,198.12,1
Diego Ferreira,175.26,70.31,187.96,1
Maheshate,182.88,70.31,180.34,1
Viacheslav Borshchev,180.34,70.31,175.26,1
Orion Cosce,180.34,77.11,180.34,4
Ilir Latifi,177.8,104.33,185.42,1
Nick Fiore,177.8,70.31,182.88,1
Victoria Leonardo,165.1,56.7,162.56,1
Takashi Sato,177.8,77.11,185.42,3
Daniel Rodriguez,185.42,77.11,187.96,3
Matt Brown,182.88,77.11,190.5,1
Court McGee,180.34,77.11,190.5,1
Chase Sherman,193.04,113.4,198.12,1
Cody Stamann,167.64,61.23,162.56,1
Douglas Silva de Andrade,170.18,61.23,172.72,1
Ji Yeon Kim,170.18,56.7,182.88,1
Mandy Bohm,170.18,56.7,180.34,1
Gabe Green,177.8,70.31,185.42,4
Jessica-Rose Clark,165.1,61.23,162.56,1
Belal Muhammad,180.34,77.11,182.88,1
